t,power,slowness,back_azi
2020-01-01T01:30:46.005000Z,3438595.9777235063,0.32,258.0
2020-01-01T01:30:46.015000Z,4214554.747461203,0.36,258.0
2020-01-01T01:30:46.025000Z,4480815.4025203,0.36,258.0
2020-01-01T01:30:46.035000Z,4685789.102858044,0.4,258.0
2020-01-01T01:30:46.045000Z,4624035.168206053,0.36,258.0
2020-01-01T01:30:46.055000Z,4662343.044065632,0.36,255.0
2020-01-01T01:30:46.065000Z,4639057.7787638055,0.36,255.0
2020-01-01T01:30:46.075000Z,4779110.499168958,0.4,255.0
2020-01-01T01:30:46.085000Z,5301131.198143698,0.4,255.0
2020-01-01T01:30:46.095000Z,5468001.498090127,0.4,255.0
2020-01-01T01:30:46.105000Z,5838975.066630065,0.4,255.0
2020-01-01T01:30:46.115000Z,5658987.875727487,0.36,255.0
2020-01-01T01:30:46.125000Z,5909524.929856824,0.36,255.0
2020-01-01T01:30:46.135000Z,6052532.052184686,0.36,255.0
2020-01-01T01:30:46.145000Z,5978782.177828296,0.36,255.0
2020-01-01T01:30:46.155000Z,5877072.603910433,0.36,252.0
2020-01-01T01:30:46.165000Z,5806414.886869811,0.4,255.0
2020-01-01T01:30:46.175000Z,5457990.87148369,0.4,255.0
2020-01-01T01:30:46.185000Z,4357333.541937376,0.36,252.0
2020-01-01T01:30:46.195000Z,3340862.7049784428,0.16,144.0
2020-01-01T01:30:46.205000Z,3725483.0180786527,0.16,147.0
2020-01-01T01:30:46.215000Z,3590029.299707933,0.2,150.0
2020-01-01T01:30:46.225000Z,3462327.6442855946,0.2,153.0
2020-01-01T01:30:46.235000Z,2934274.2859091056,0.2,153.0
2020-01-01T01:30:46.245000Z,2687509.0652127974,0.2,156.0
2020-01-01T01:30:46.255000Z,2673776.272969052,0.2,153.0
2020-01-01T01:30:46.265000Z,3392059.886773907,0.2,153.0
2020-01-01T01:30:46.275000Z,4416929.750453626,0.2,153.0
2020-01-01T01:30:46.285000Z,4408841.487990601,0.2,150.0
2020-01-01T01:30:46.295000Z,4370561.932098117,0.2,150.0
2020-01-01T01:30:46.305000Z,4399627.090911761,0.2,150.0
2020-01-01T01:30:46.315000Z,4354135.310630141,0.2,153.0
2020-01-01T01:30:46.325000Z,4373882.182580581,0.2,150.0
2020-01-01T01:30:46.335000Z,4548088.465226523,0.2,150.0
2020-01-01T01:30:46.345000Z,4380713.635713427,0.12,219.0
2020-01-01T01:30:46.355000Z,4345569.201217032,0.12,222.0
2020-01-01T01:30:46.365000Z,4474976.252460456,0.16,231.0
2020-01-01T01:30:46.375000Z,4387572.498460846,0.16,237.0
2020-01-01T01:30:46.385000Z,4061977.4765091073,0.16,234.0
2020-01-01T01:30:46.395000Z,4222531.40402704,0.16,234.0
2020-01-01T01:30:46.405000Z,4224978.579819252,0.16,231.0
2020-01-01T01:30:46.415000Z,4516863.647732444,0.16,231.0
2020-01-01T01:30:46.425000Z,4556677.729667832,0.16,234.0
2020-01-01T01:30:46.435000Z,4377289.405297295,0.16,234.0
2020-01-01T01:30:46.445000Z,4587980.893457216,0.16,234.0
2020-01-01T01:30:46.455000Z,4549899.041427878,0.16,237.0
2020-01-01T01:30:46.465000Z,4240751.844950144,0.12,240.0
2020-01-01T01:30:46.475000Z,3947993.842651179,0.12,237.0
2020-01-01T01:30:46.485000Z,3768221.6326423394,0.12,237.0
2020-01-01T01:30:46.495000Z,3539502.288381857,0.12,243.0
2020-01-01T01:30:46.505000Z,1875734.762985795,0.08,243.0
2020-01-01T01:30:46.515000Z,1234789.0274231173,0.08,246.0
2020-01-01T01:30:46.525000Z,1155834.5518413032,0.16,147.0
2020-01-01T01:30:46.535000Z,883491.4035907665,0.16,147.0
2020-01-01T01:30:46.545000Z,886622.9411234875,0.44,252.0
2020-01-01T01:30:46.555000Z,743811.1361245767,0.2,270.0
2020-01-01T01:30:46.565000Z,854237.470396338,0.44,51.0
2020-01-01T01:30:46.575000Z,666247.5150172374,0.4,180.0
2020-01-01T01:30:46.585000Z,712207.9304005513,0.4,180.0
2020-01-01T01:30:46.595000Z,811156.9099258123,0.4,180.0
2020-01-01T01:30:46.605000Z,995360.786741556,0.4,180.0
2020-01-01T01:30:46.615000Z,952561.6987234964,0.4,180.0
2020-01-01T01:30:46.625000Z,873005.6294628229,0.44,177.0
2020-01-01T01:30:46.635000Z,839441.5002015461,0.44,177.0
2020-01-01T01:30:46.645000Z,833626.5567515404,0.44,177.0
2020-01-01T01:30:46.655000Z,730308.5155611627,0.76,15.0
2020-01-01T01:30:46.665000Z,780384.0930183581,0.48,312.0
2020-01-01T01:30:46.675000Z,689066.3775289844,0.96,114.0
2020-01-01T01:30:46.685000Z,675078.875582598,0.88,312.0
2020-01-01T01:30:46.695000Z,652292.453583885,0.96,114.0
2020-01-01T01:30:46.705000Z,748410.122762715,0.32,243.0
2020-01-01T01:30:46.715000Z,804484.4925823922,0.32,243.0
2020-01-01T01:30:46.725000Z,808271.1780704081,0.32,243.0
2020-01-01T01:30:46.735000Z,728036.14408036,0.16,81.0
2020-01-01T01:30:46.745000Z,862118.1888315359,0.16,81.0
2020-01-01T01:30:46.755000Z,856049.1944349803,0.16,84.0
2020-01-01T01:30:46.765000Z,942740.2378761448,0.16,78.0
2020-01-01T01:30:46.775000Z,1111395.4888463423,0.16,69.0
2020-01-01T01:30:46.785000Z,1086756.19097904,0.6,306.0
2020-01-01T01:30:46.795000Z,1155742.4162577274,0.6,306.0
2020-01-01T01:30:46.805000Z,1085562.999352425,0.6,306.0
2020-01-01T01:30:46.815000Z,1090438.9793138495,0.2,78.0
2020-01-01T01:30:46.825000Z,975055.9652359686,0.16,69.0
2020-01-01T01:30:46.835000Z,833514.8531755282,0.16,72.0
2020-01-01T01:30:46.845000Z,740444.0366283179,0.16,72.0
2020-01-01T01:30:46.855000Z,776589.4113408807,0.6,309.0
2020-01-01T01:30:46.865000Z,739553.5885914546,0.2,72.0
2020-01-01T01:30:46.875000Z,901484.2778384794,0.16,75.0
2020-01-01T01:30:46.885000Z,1334178.009262504,0.04,99.0
2020-01-01T01:30:46.895000Z,1526943.1172525028,0.08,78.0
