t,power,slowness,back_azi
2020-01-01T01:30:46.005000Z,877989.1146602107,0.16,126.0
2020-01-01T01:30:46.015000Z,561101.6237600639,0.88,309.0
2020-01-01T01:30:46.025000Z,629000.0726653936,0.92,42.0
2020-01-01T01:30:46.035000Z,632693.5239636549,0.92,42.0
2020-01-01T01:30:46.045000Z,646799.0022982184,0.88,42.0
2020-01-01T01:30:46.055000Z,645123.5381240814,0.72,174.0
2020-01-01T01:30:46.065000Z,639991.9669435637,0.76,174.0
2020-01-01T01:30:46.075000Z,687871.8218902813,0.32,150.0
2020-01-01T01:30:46.085000Z,673365.7882629973,0.32,150.0
2020-01-01T01:30:46.095000Z,584632.7592841302,0.16,129.0
2020-01-01T01:30:46.105000Z,663423.8878238759,0.24,129.0
2020-01-01T01:30:46.115000Z,689750.5657484288,0.8,342.0
2020-01-01T01:30:46.125000Z,758778.8854564693,0.8,342.0
2020-01-01T01:30:46.135000Z,922427.5962098393,0.16,150.0
2020-01-01T01:30:46.145000Z,2333645.311731313,0.16,150.0
2020-01-01T01:30:46.155000Z,8958285.598884538,0.2,150.0
2020-01-01T01:30:46.165000Z,9902914.755921321,0.2,150.0
2020-01-01T01:30:46.175000Z,10209967.000127612,0.2,150.0
2020-01-01T01:30:46.185000Z,10912727.011457555,0.2,150.0
2020-01-01T01:30:46.195000Z,11048781.893850414,0.2,150.0
2020-01-01T01:30:46.205000Z,11564601.610319683,0.2,150.0
2020-01-01T01:30:46.215000Z,11636412.010024762,0.2,150.0
2020-01-01T01:30:46.225000Z,11663759.473922279,0.2,150.0
2020-01-01T01:30:46.235000Z,11825311.897431428,0.2,150.0
2020-01-01T01:30:46.245000Z,12010771.406795863,0.2,150.0
2020-01-01T01:30:46.255000Z,12355802.062795535,0.2,147.0
2020-01-01T01:30:46.265000Z,12888947.53014517,0.2,147.0
2020-01-01T01:30:46.275000Z,13084195.611603757,0.2,147.0
2020-01-01T01:30:46.285000Z,13381970.878827956,0.2,147.0
2020-01-01T01:30:46.295000Z,13395853.51257085,0.2,147.0
2020-01-01T01:30:46.305000Z,13413220.94747845,0.2,147.0
2020-01-01T01:30:46.315000Z,13284143.77923184,0.2,147.0
2020-01-01T01:30:46.325000Z,12992622.43622571,0.2,147.0
2020-01-01T01:30:46.335000Z,13092423.471056527,0.2,147.0
2020-01-01T01:30:46.345000Z,5886482.120260061,0.2,147.0
2020-01-01T01:30:46.355000Z,2863398.876226077,0.24,138.0
2020-01-01T01:30:46.365000Z,2756308.750449467,0.24,138.0
2020-01-01T01:30:46.375000Z,2505077.180884511,0.24,138.0
2020-01-01T01:30:46.385000Z,2240259.310108131,0.24,141.0
2020-01-01T01:30:46.395000Z,1867073.3067394707,0.24,141.0
2020-01-01T01:30:46.405000Z,1867583.2183863197,0.24,141.0
2020-01-01T01:30:46.415000Z,1617425.4931139573,0.24,144.0
2020-01-01T01:30:46.425000Z,1649258.02578092,0.24,144.0
2020-01-01T01:30:46.435000Z,1662272.5157135502,0.24,144.0
2020-01-01T01:30:46.445000Z,1652664.8338907778,0.24,141.0
2020-01-01T01:30:46.455000Z,940458.6415250327,0.24,144.0
2020-01-01T01:30:46.465000Z,829493.3393517894,0.36,42.0
2020-01-01T01:30:46.475000Z,750340.4114813156,0.48,246.0
2020-01-01T01:30:46.485000Z,818494.7704674012,0.48,246.0
2020-01-01T01:30:46.495000Z,686742.3660842202,0.16,270.0
2020-01-01T01:30:46.505000Z,660075.4342159645,0.28,45.0
2020-01-01T01:30:46.515000Z,957406.6480305942,0.28,42.0
2020-01-01T01:30:46.525000Z,929453.0766212883,0.4,36.0
2020-01-01T01:30:46.535000Z,832272.6906454292,0.2,114.0
2020-01-01T01:30:46.545000Z,1018291.126032418,0.2,114.0
2020-01-01T01:30:46.555000Z,966583.7991325079,0.2,114.0
2020-01-01T01:30:46.565000Z,1089170.075337103,0.2,114.0
2020-01-01T01:30:46.575000Z,952522.3460846622,0.2,117.0
2020-01-01T01:30:46.585000Z,860448.0530880818,0.2,114.0
2020-01-01T01:30:46.595000Z,949591.6474008538,0.2,117.0
2020-01-01T01:30:46.605000Z,896522.7561251927,0.72,48.0
2020-01-01T01:30:46.615000Z,906261.5874826239,0.2,171.0
2020-01-01T01:30:46.625000Z,997472.8187625528,0.72,48.0
2020-01-01T01:30:46.635000Z,964626.9114689606,0.72,48.0
2020-01-01T01:30:46.645000Z,890001.0990154815,0.2,171.0
2020-01-01T01:30:46.655000Z,761848.9761291519,0.56,240.0
2020-01-01T01:30:46.665000Z,795613.9320570787,0.2,174.0
2020-01-01T01:30:46.675000Z,737501.7090066469,0.2,177.0
2020-01-01T01:30:46.685000Z,671530.2344089968,0.72,48.0
2020-01-01T01:30:46.695000Z,759813.994812428,0.56,102.0
2020-01-01T01:30:46.705000Z,901482.6865963539,0.56,102.0
2020-01-01T01:30:46.715000Z,909768.3137722037,0.56,105.0
2020-01-01T01:30:46.725000Z,906126.6245122352,0.6,138.0
2020-01-01T01:30:46.735000Z,1133543.2071089135,0.6,138.0
2020-01-01T01:30:46.745000Z,986470.972391654,0.56,105.0
2020-01-01T01:30:46.755000Z,1069747.9346557285,0.6,138.0
2020-01-01T01:30:46.765000Z,968997.2170560348,1.0,9.0
2020-01-01T01:30:46.775000Z,945229.0225797932,1.0,9.0
2020-01-01T01:30:46.785000Z,873823.793584157,0.88,144.0
2020-01-01T01:30:46.795000Z,768709.7021842644,1.0,9.0
2020-01-01T01:30:46.805000Z,713564.4935638153,0.28,336.0
2020-01-01T01:30:46.815000Z,893245.1477992142,0.2,219.0
2020-01-01T01:30:46.825000Z,1164754.5253046346,0.2,219.0
2020-01-01T01:30:46.835000Z,1264974.3759329424,0.2,219.0
2020-01-01T01:30:46.845000Z,1402956.9553414492,0.2,219.0
2020-01-01T01:30:46.855000Z,1366872.7901636634,0.2,219.0
2020-01-01T01:30:46.865000Z,1299375.6846054606,0.2,219.0
2020-01-01T01:30:46.875000Z,1071864.092529238,0.2,216.0
2020-01-01T01:30:46.885000Z,1093352.9402941433,0.2,216.0
2020-01-01T01:30:46.895000Z,1261473.1667939792,0.2,213.0
2020-01-01T01:30:46.905000Z,1323304.398931928,0.2,216.0
2020-01-01T01:30:46.915000Z,1323314.6347757888,0.2,213.0
2020-01-01T01:30:46.925000Z,1191644.0288773733,0.24,144.0
2020-01-01T01:30:46.935000Z,1285062.3396287293,0.2,147.0
2020-01-01T01:30:46.945000Z,1483766.2742356134,0.2,147.0
2020-01-01T01:30:46.955000Z,1733694.2258545223,0.2,147.0
2020-01-01T01:30:46.965000Z,1647178.017539349,0.24,144.0
2020-01-01T01:30:46.975000Z,1673422.5394147516,0.24,144.0
2020-01-01T01:30:46.985000Z,1476941.7265465045,0.28,144.0
2020-01-01T01:30:46.995000Z,1554353.7784595399,0.2,144.0
2020-01-01T01:30:47.005000Z,1436702.9177758473,0.2,144.0
2020-01-01T01:30:47.015000Z,1256749.2883159202,0.28,147.0
2020-01-01T01:30:47.025000Z,1084339.298598604,0.36,150.0
2020-01-01T01:30:47.035000Z,1104091.8620526255,0.36,147.0
2020-01-01T01:30:47.045000Z,1275248.9288359422,0.36,147.0
2020-01-01T01:30:47.055000Z,1273978.9618282074,0.36,144.0
2020-01-01T01:30:47.065000Z,1444172.577303723,0.36,147.0
2020-01-01T01:30:47.075000Z,1316898.5498229142,0.36,147.0
2020-01-01T01:30:47.085000Z,1113526.3335309657,0.4,321.0
2020-01-01T01:30:47.095000Z,955921.9069081537,0.2,153.0
2020-01-01T01:30:47.105000Z,1002622.820231312,0.2,153.0
